流水號,開課系所,課程概述,課程目標,課程要求,評量方式,預期學習時數
11755,化學系,,,,,
42712,化學系,,,,,
59834,化學系,,,,,
47678,化學系,,,,,
31672,化學系,,,,,
36194,化學系,,,,,
54051,化學系,,,,,
55506,化學系,,,,,
54683,化學系,,,,,
26424,化學系,,,,,
27582,化學系,,,,,
48175,化學系,,,,,
20523,化學系,,,,,
39290,化學系,,,,,
28089,化學系,,,,,
23304,化學系,,,,,
53053,化學系,,,,,
16938,化學系,,,,,
45743,化學系,,,,,
22262,化學系,,,,,
23557,化學系,,,,,
58061,化學系,,,,,
20348,化學系,,,,,
47064,化學系,,,,,
47051,化學系,,,,,
55653,化學系,,,,,
33417,化學系 / 化學所化學生物學組 / 化學所化學組,,,,,
18753,化學所化學組,,,,,
33367,化學所化學組,,,,,
45587,化學所化學組,,,,,
30721,化學所化學組,,,,,
11867,化學所化學組,,,,,
47235,化學所化學組,,,,,
18270,化學所化學組,,,,,
12440,化學所化學組,,,,,
48098,化學所化學組,,,,,
26199,化學所化學組,,,,,
29311,化學所化學組,,,,,
42734,化學所化學組,,,,,
58635,化學所化學組,,,,,
19849,化學所化學組,,,,,
35957,化學所化學組,,,,,
13091,化學所化學組,,,,,
24212,化學所化學組,,,,,
37029,化學所化學組,,,,,
13753,化學所化學組,,,,,
54795,化學所化學組,,,,,
58911,化學所化學組,,,,,
49016,化學所化學組,,,,,
49806,化學所化學組,,,,,
45126,化學所化學組,,,,,
37339,化學所化學組,,,,,
55001,化學所化學組,,,,,
17218,化學所化學組,,,,,
49798,化學所化學組,,,,,
16545,化學所化學組,,,,,
55770,化學所化學組,,,,,
54682,化學所化學組,,,,,
23017,化學所化學組,,,,,
40757,化學所化學生物學組,,,,,
58701,化學所化學生物學組,,,,,
10975,化學所化學生物學組,,,,,
22315,化學所化學生物學組,,,,,
25399,化學所化學生物學組,,,,,
48944,化學所化學生物學組,,,,,
46542,化學所化學生物學組,,,,,
19995,化學所化學生物學組,,,,,
44988,化學所化學生物學組,,,,,
56657,化學所化學生物學組,,,,,
47583,化學所化學生物學組,,,,,
24819,化學所化學生物學組,,,,,
42629,化學所化學生物學組,,,,,
39981,化學所化學生物學組,,,,,
44853,化學所化學生物學組,,,,,
95012,化學所化學組,,,,,
40921,化學所化學組 / 化學所化學生物學組,,,,,
55532,化學所化學組 / 化學所化學生物學組,,,,,
57602,化學所化學組 / 化學所化學生物學組,,,,,
43885,化學所化學組 / 化學所化學生物學組,,,,,
15475,化學所化學組 / 化學所化學生物學組,,,,,
30429,化學所化學組 / 化學所化學生物學組,,,,,
20179,化學所化學組 / 化學所化學生物學組,,,,,
42678,化學所化學組 / 化學所化學生物學組,,,,,
40878,化學所化學組 / 化學所化學生物學組,,,,,
13860,化學所化學組 / 化學所化學生物學組,,,,,
13912,化學所化學組 / 化學所化學生物學組,,,,,
23871,化學所化學組 / 化學所化學生物學組,,,,,
17689,化學所化學組 / 化學所化學生物學組,,,,,
43094,化學所化學組 / 化學所化學生物學組,,,,,
33033,化學所化學組 / 化學所化學生物學組,,,,,
27933,化學所化學組 / 化學所化學生物學組,,,,,
28634,化學所化學組 / 化學所化學生物學組,,,,,
37844,化學所化學組 / 化學所化學生物學組,,,,,
47725,化學所化學組 / 化學所化學生物學組,,,,,
50857,化學所化學組 / 化學所化學生物學組,,,,,
42113,化學所化學組 / 化學所化學生物學組,,,,,
27950,化學所化學組 / 化學所化學生物學組,,,,,
14950,化學所化學組 / 化學所化學生物學組,,,,,
29622,化學所化學組 / 化學所化學生物學組,,,,,
40488,化學所化學組 / 化學所化學生物學組,,,,,
22558,化學所化學組 / 化學所化學生物學組,,,,,
38285,化學所化學組,,,,,
57623,化學所化學生物學組,"化學是一門除了知識上的學習外，更強調實際操作實驗、講習訓練的學科，故安排本系碩博士班學生修習「化學教學法與實習」課程，訓練學生複習大學部課程，學習實驗技能及基本理論，從協助指導大學生的過程中，培養個人表達專業知識及技能的能力。
本課程為因應同學的興趣以及實際課程安排情形，課程內容分為協助課務、實驗進行兩方面：
1.實驗：
本課程教材是以本系所編纂的實驗教材(包含普通化學實驗、有機化學實驗、分析化學實驗、物理化學實驗)為主，搭配本系專任助教及教學約用幹事們的說明指導，於學期開始前進行實驗課程的預作及助理助教說明會，講解安全注意事項與教學技巧。
修習本課程之碩博士生，將於學期中擔任實驗課程助理助教，將所學習得的知識技能作實際印證，包括協助指導實驗課程內容、協助準備實驗器材與藥品，使實驗過程可以順利進行。此外，每週規劃有每週進行助教會議，實際檢討當週實驗進行，並預習下週實驗，有效促進教學學習。
2.課程：
本課程指導教師即為課程授課老師，課程教材及教學方法部分由各開課老師擇選安排。會於開學前舉辦課務教學助理說明會，邀請本系資深助教與會，經驗分享。
修習本課程之碩博士生，將於學期中擔任課程教學助理，透過協助教師課程準備、習題講解、考卷批改等訓練，除複習大學所學專業知識外，更培養學生表達溝通的能力。

表現優異的同學，將獲頒學年度特優助理助教/優良助理助教獎項。

碩士生修習「化學教學法與實習」課程，畢業後10年內進入本所博士班就讀者，可依本系辦法申請抵免研究所「化學教學法與實習」課程。","1.	藉由本課程的訓練，使同學對於化學有更深的認識，透過指導大學部學生的過程，提升自我表達協調等能力。
2.	培育本校化學實驗/化學課程教學助理人才。","實驗：
1.	參與期初助理助教說明會。
2.	開學前參與實驗預作。
3.	參與每週助教會議。
課程：
1.	 參與期初課務助教說明會。
2.	 協助教師教學交辦事項。",,
10653,化學所化學組 / 化學所化學生物學組,,,,,
54212,化學所化學組 / 化學所化學生物學組,,,,,
53268,化學所化學組 / 化學所化學生物學組,,,,,
53908,化學所化學組,,,,,
47663,化學所化學組,,,,,
43422,化學所化學組,,,,,
34330,化學所化學組,,,,,
45796,化學所化學組,,,,,
22274,化學所化學組,,,,,
31784,化學所化學組,,,,,
47405,化學所化學組,,,,,
13964,化學所化學組,,,,,
27511,化學所化學組,,,,,
27625,化學所化學組,,,,,
57850,化學所化學組,,,,,
30411,化學所化學組,,,,,
54279,化學所化學組,,,,,
14194,化學所化學組,,,,,
49716,化學所化學組,,,,,
26781,化學所化學組,,,,,
21738,化學所化學組,,,,,
19169,化學所化學組,,,,,
21998,化學所化學組,,,,,
30121,化學所化學組,,,,,
42016,化學所化學組,,,,,
36561,化學所化學組,,,,,
19593,化學所化學生物學組,,,,,
29806,化學所化學生物學組,,,,,
17375,化學所化學生物學組,,,,,
54104,化學所化學生物學組,,,,,
24418,化學所化學生物學組,,,,,
11522,化學所化學生物學組,,,,,
41260,化學所化學生物學組,,,,,
32881,化學所化學生物學組,,,,,
31416,化學所化學生物學組,,,,,
40545,化學所化學組 / 化學所化學生物學組,,,,,
15584,化學所化學組 / 化學所化學生物學組,,,,,
56917,化學所化學組 / 化學所化學生物學組,,,,,
31597,化學所化學組 / 化學所化學生物學組,,,,,
