custom_id,course_id,course_name,teacher,post_url,post_title,post_date,post_tag,year_term,has_template,recommendation,sweetness,workload,teaching_style,grading_method,summary
M.1655882497.A.FD6__FL3281,FL3281,電影研究導論,于昌民,https://www.ptt.cc/bbs/NTUcourse/M.1655882497.A.FD6.html,[通識] 110-2 A1 電影研究導論 于昌民,Wed Jun 22 15:21:35 2022,通識,110-2,True,2,3,5,週一晚上是放片時間，老師會先上一堂課，再給大家時間吃晚餐，之後再放片，周三則是 一堂正課一堂討論課，必須特別讚嘆老師的時間掌控能力欸，鐘一響馬上上課，當週預訂 內容講完也差不多鐘響，很少會延遲下課。 正課主要是搭配ppt，老師講話滿犀利有趣的，講解概念的時候會放很多適合的電影段落 給大家看（偶爾可以看到老師跟著音樂跳舞）。讀本量算平易近人，我自己課前看讀本不 懂的概念，上完課很常有種豁然開朗的感覺讚讚，如果還是不懂的話也可以討論課詢問助 教！（助教很用心帶討論課）另外，ppt不會提前給，上課也不能使用電腦，所以只能手 寫筆記。 討論課的話，滿需要大家發言跟討論，我那班的助教會點名發言，所以不大…,出席以及積極參與討論 15% 第一份報告（一千字）10% 兩份短報告（兩千字） 30% 期中考（4/6、多選題∕簡答） 20% 期末考（6/1、多選題∕簡答） 25%? 線上後期末考改成短報告 給分的話，考題型式見下方，作業跟報告有按照老師作業要求的話，助教給分不會太嚴苛 ，應該算紮實偏甜（？）,雖然FB社團有滿多篇這堂課的推薦文了，但是這裡一篇都沒有覺得有點可惜（比較喜歡pt t的搜尋介面QQ）。總之大推這堂課，以前看完電影感想大多是針對劇情內容的喜惡，但 現在看電影會去思考導演為什麼這樣敘事？可能還有哪些拍攝方式，而導演卻選擇這個手 法的理由是什麼？ 這堂課真的滿花時間的（以一般通識課來說），我自己報告光是挑要寫哪部、挑哪些鏡頭 就可以想超級久，但如 果是喜歡電影、想更了解電影的話，修完這堂真的收穫滿滿ㄛ。 （文末偷偷抱怨博雅教室的投影幕，除非坐超前面不然都會被前面的人擋住字幕，看電影 像在練英聽QQ）
M.1625531578.A.965__IB5082,IB5082,大數據行銷,任立中,https://www.ptt.cc/bbs/NTUcourse/M.1625531578.A.965.html,[評價] 109-2 任立中 大數據行銷,Tue Jul  6 08:32:53 2021,評價,109-2,True,3,,4,老師以 2015年 前程文化 的公播影片上課， 影片及投影片都放在 NTUCOOL，這套影片定價似乎破萬!? (Google到的) 助教則會在上課教室讓大家問問題，(疫情後，改為線上) 比較多人問的問題，助教也會錄製成影片放在 NTUCOOL。,60% Weekly Homework 40% Term Paper 因為不會公布每次作業跟期末書面報告分數， 所以要到學期成績公布，才會知道自己等第。 個人感覺：作業偏簡單，學期成績 A容易、A+偏難,這堂課比較像是「資料庫行銷」， 前幾周介紹行銷資料庫，後幾週著重資料分析，過程穿插行銷概念。 課程使用的軟體是 Excel 跟 SPSS， Excel 應該大家都有，SPSS 可以上計中的虛擬桌面系統使用， 按照課本或助教影片，花點時間應該就做得出來， 我自己有另外再用 Python 跟 Stata 去跑，其實也不會太難。 整體來說，如果有時間寫作業，算是一堂滿基礎的資料庫行銷課。
M.1597915956.A.803__IB5082,IB5082,大數據行銷,任立中,https://www.ptt.cc/bbs/NTUcourse/M.1597915956.A.803.html,[評價] 108-2 任立中 大數據行銷,Thu Aug 20 17:32:31 2020,評價,108-2,True,4,3,3,由於疫情的關係，這學期改成全面遠距教學 上課就是看老師以前在外面上課的影片，每週看大概2小時 影片品質還不錯，左半是投影片、右半是老師的教學現場，下面還有字幕 老師上課也會帶一些企業案例和他自己的經驗，整體還算有趣,紮實甜 我作業沒有寫很好且遲交過，但期末報告寫得很努力，最後拿A 原本: 課堂討論 30% 書面報告 30% 期中考 20% 期末考 20% 後來改成: 平時作業 50% 期末報告 50% 也就是只有作業沒有考試,雖然是遠距教學，但老師和助教都很樂意解決同學遇到的問題 儘管常常在作業的死線前掙扎，但確實在excel方面增進了不少 （雖然好像跟我原本想的大數據不太一樣？XD） （我記得老師是說資料量少或多的處理方式不會差太多～所以學的是處理方式！） 不過未來疫情減緩後，可能又會改上課形式就是了～
M.1487737656.A.E39__IB5082,IB5082,大數據行銷,任立中,https://www.ptt.cc/bbs/NTUcourse/M.1487737656.A.E39.html,[問題] 大數據行銷-任立中,Wed Feb 22 12:27:33 2017,問題,,False,,,,,,
M.1378994923.A.965__Phl7019,Phl7019,儒家哲學研究,佐藤將之,https://www.ptt.cc/bbs/NTUcourse/M.1378994923.A.965.html,[問題] 佐藤將之老師研究所[儒家哲學研究],Thu Sep 12 22:08:40 2013,問題,,False,,,,,,
M.1377698447.A.8A9__LS3023,LS3023,生態學,何傳愷,https://www.ptt.cc/bbs/NTUcourse/M.1377698447.A.8A9.html,[News] 生態學專題討論(二) 林雨德 何傳愷 合開,Wed Aug 28 22:00:44 2013,News,,False,,,,,,
M.1594820982.A.978__Prog3002,Prog3002,日本外交探討,何思慎,https://www.ptt.cc/bbs/NTUcourse/M.1594820982.A.978.html,[評價] 108-2 何思慎 日本外交探討,Wed Jul 15 21:49:39 2020,評價,108-2,True,5,,1,跟上學期一樣，全程聽老師喇賽， 不過本學期因為疫情的關係，中間有幾週改成遠距， 感覺隔著電腦螢幕就少了那麼一味,感覺這學期的分數比較不好拿，但還是算輕鬆 作業只有三次 + 期末影片一個， 而期末考前甚至還會給題庫（19 題抓 10 題考） 有準備的話應該要全拿這部分的分數,喔對了，老師感覺有點大中華主義（捍衛中華民國 + 釣魚台）， 又感覺挺支持韓總的（聽起來啦） 雖然不會像張●中之流上課瘋狂灌輸，但覺青可能會覺得刺耳 建議搭配禮拜五的楊典錕中和一下立場，或是刺激一下想法 （奇怪明明兩堂課都是在講日本，怎麼聽起來變成兩黨佈道大會...）
M.1561793305.A.7F7__Prog3002,Prog3002,日本外交探討,何思慎,https://www.ptt.cc/bbs/NTUcourse/M.1561793305.A.7F7.html,[通識] 107-2 A2* 日本外交探討 何思慎,Sat Jun 29 15:28:23 2019,通識,107-2,True,4,,4,單純口述（主要是中文，但有時候會突然出現一長串日文，不過會用中文再解釋一遍） 重要的概念何老師會常常提起，平常有在聽課的話都會有印象 可以當作聽故事一個學期，收穫會蠻豐富的,課堂參與：20% 作業三次共30% 期末考試：50% 我點名兩次都有到，作業都有交，期末大概每一題都寫了4~5行左右，最後A+,雖然何老師通常會3:50才進教室，5點半才下課，不過上課時你不得不佩服他可以在沒有 任何講義之下，很生動、完整的分析日本戰後的外交演變，及其和我們之間的關係。 這是一門很棒的A2通識課！
M.1530795351.A.A29__Prog3002,Prog3002,日本外交探討,何思慎,https://www.ptt.cc/bbs/NTUcourse/M.1530795351.A.A29.html,[通識] 106-2 A2 何思慎 日本外交探討,Thu Jul  5 20:55:49 2018,通識,106-2,True,5,5,2,主要以老師口述，中日文夾雜，但日文說過之後會再用中文解釋一次。 內容以戰後日本政治與國際關係為主，中間有一部分著重於美日關係的發展。 在6月的時候有商請日本的大學教授來演講，當天也有不少研究生跟日本的學者來聽。,沒有確切的給分比例，但可以確定的是應該是滿甜的。,涼+甜 上課氣氛輕鬆 可以學到基礎的日本戰後相關歷史
M.1530793704.A.2D4__Prog3002,Prog3002,日本外交探討,何思慎,https://www.ptt.cc/bbs/NTUcourse/M.1530793704.A.2D4.html,[通識] 106-2 A2 何思慎 日本外交探討,Thu Jul  5 20:28:17 2018,通識,106-2,True,4,5,2,純粹口述，學期中還有一次聽演講,三次作業＋期末考＝你的學期成績 整體而言非常涼偏甜,啊我不知道要怎麼總結欸OAO 這課不錯啊～老師人也很好～ 歡迎大家來修～
M.1456215840.A.68E__Prog3002,Prog3002,日本外交探討,何思慎,https://www.ptt.cc/bbs/NTUcourse/M.1456215840.A.68E.html,[求救] 何思慎 日本外交探討 拿加簽單地點,Tue Feb 23 16:23:57 2016,求救,,False,,,,,,
M.1295185075.A.98D__MBA5086,MBA5086,智慧財產權法,何愛文,https://www.ptt.cc/bbs/NTUcourse/M.1295185075.A.98D.html,[評價] 98-2 何愛文 智慧財產權法,Sun Jan 16 21:37:52 2011,評價,98-2,True,4,4,1,放投影片講解 大部分內容投影片裡都有 老師講課滿清晰的 只是一開始聽，對商標還沒什麼概念，會覺得內容有點雜亂，找不到重點 可以上工管系網站，從右手邊 常用連結>教師教學網頁 裡點進去看投影片,分組報告 50% 期末考 50% 不清楚分組報告的成績、也不曉得期末考成績，不清楚是否有調分 從eportfolio看成績分佈是 90↑ 10人 80~89 57人 70~79 1人 應該......算是非常甜,教授是某法律事務所的合夥人，相當忙碌，只能在下學期開課， 98-2是第一次開課 有些同學會向教授問生涯發展的事，教授除了下課回答以外，也會在課堂 上再提及一些自己的看法，我覺得教授人滿好的:) 除了報告可能會花一些時間整理以外，只要上課聽講，我覺得這門課的負 擔不重，以結果來看也是相當甜；也可以認識有關商標、專利、著作權相 關的基本概念，如果有較偏實務上的問題也可以問教授；扣一顆星的緣故 主要是因為自己是作為選修，這些概念簡單，但也易忘，輕鬆的渡過，但 之後也只是留個滿淺的印象。
M.1295171800.A.180__MBA5086,MBA5086,智慧財產權法,何愛文,https://www.ptt.cc/bbs/NTUcourse/M.1295171800.A.180.html,[問題] 求工管何愛文老師智慧財產權法的評價,Sun Jan 16 17:56:38 2011,問題,,False,,,,,,
M.1611565288.A.361__AGEC3030,AGEC3030,消費經濟論,何率慈,https://www.ptt.cc/bbs/NTUcourse/M.1611565288.A.361.html,[評價] 109-1 消費經濟論 何率慈,Mon Jan 25 17:01:26 2021,評價,109-1,True,4,,2,投影片，老師上課講解，期末會有一份個人term paper要上台報告。,等成績出來後補上,全英文授課，上課會帶很多人們在不同情境下，會有的消費行為之模型(e.g.聖誕節禮物 的無謂所失、美國大選對經濟的影響等等）基本上老師上課的內容很多元，只要對人類的 消費行為有興趣、英文程度不會太差的都會覺得有趣
M.1611565288.A.361__AGEC7146,AGEC7146,消費經濟論,何率慈,https://www.ptt.cc/bbs/NTUcourse/M.1611565288.A.361.html,[評價] 109-1 消費經濟論 何率慈,Mon Jan 25 17:01:26 2021,評價,109-1,True,4,,2,投影片，老師上課講解，期末會有一份個人term paper要上台報告。,等成績出來後補上,全英文授課，上課會帶很多人們在不同情境下，會有的消費行為之模型(e.g.聖誕節禮物 的無謂所失、美國大選對經濟的影響等等）基本上老師上課的內容很多元，只要對人類的 消費行為有興趣、英文程度不會太差的都會覺得有趣
M.1483801959.A.87C__LAW3110,LAW3110,信託與退休金法,余雪明,https://www.ptt.cc/bbs/NTUcourse/M.1483801959.A.87C.html,[求救] 徵求余雪明老師<信託與退休金法>筆記,Sat Jan  7 23:12:32 2017,求救,,False,,,,,,
M.1358309714.A.FE8__LAW3110,LAW3110,信託與退休金法,余雪明,https://www.ptt.cc/bbs/NTUcourse/M.1358309714.A.FE8.html,[評價] 101上 余雪明 信託與退休金法,Wed Jan 16 12:15:10 2013,評價,101上,True,5,5,1,1.不點名(除了assign cases的時候以外) 2.上課會assign 講義內的case，依上課人數每人每學期至多分到一個 內容為將某英美法判決翻成中文，講述故事大致過程即可。 可準備的時間至少一周，會抽到哪個case、內容大小完全是看運氣 3.可以選擇不預習 上課順序沿著講義進行，老師會講述鎖摘錄各篇文章之大意(就是翻譯個大概) 之所以說可不預習理由在：摘錄的文章常常有缺字、印刷不清的狀況，想看都未 必看得懂 4.承上，上課內容的次序為 i. 發講義 ii. 講解講義第一頁的大綱 iii. 進入摘錄的文章(多為英文，從參考書目中摘錄)，做介紹個大概 iv. assign cases v…,有上台的有額外加分(多少不確定，老師也沒明講) 估計是與出席率一同作為要不要當人的參考(不過這麼多年來也沒當掉幾個) 大學部以期末考，研究生繳交期末報告 考試給分算甜，試前看個筆記複習一下，40分簡答只考兩個概念 60分的兩題申論就屬自由發揮 原則上有上課有參加期末考，就有80起跳 至於沒有來上課，如果能弄到上課筆記也是會輕鬆過吧 講義的分量很多，有很多地方僅供參考，想靠自己在考前看完不太可能 重點在知道考點躲在講義的哪個部分，不過話說回來都是英文，單純要抄也不是 那麼容易，不想到考場才翻譯還是要多少準備一下 老師表示只要有寫到點都給高分，希望同學不要留空白，出難題給他,信託法從民國84年制定以後就沒大修過，現在感覺挺冷門的 上課人數與老師開的跟銀行法專題、公司治理專題比起來是少了很多 如果只是要穩穩賺個兩學分，那這門課還挺適合的(這樣說對老師挺不好意思的) 若想學到些什麼，講義裡面摘錄的文章可以好好研究。範圍從人口、總體經濟、 教育與文化傳承、投資學...最不濟也可以看英文 但是整學期都不來上課的話...最好弄份筆記以免不測
M.1263832747.A.CE5__LAW3110,LAW3110,信託與退休金法,余雪明,https://www.ptt.cc/bbs/NTUcourse/M.1263832747.A.CE5.html,[評價] 98-1 余雪明 信託與退休金法,Tue Jan 19 00:39:04 2010,評價,98-1,True,5,,4,信託法的部分，老師會先講課，然後指定英文case給同學報告 雖然說是報告，可是超簡單，只是把英文case翻譯成中文講一遍即可 而且就算講錯了還是可以加分 反而是沒有被指定到case比較慘，要上課舉手回答問題，還要答對才有加分 退休金法的部分幾乎都是老師講課,只考一次期末 分數還沒出來不知道... 老師也沒有說明評分標準 只有說會參考出席率和報告case的加分 聽說出席率超過五十趴、期末考不要亂寫一通，分數就會不錯 但分數還沒出來無法得證,雖然常聽到有人說余雪明教授口音很重、板書很亂、講話有點東跳西跳 不過我很喜歡這門課 也覺得學到很多有用的東西 當初我只是想要了解一下信託 沒想到學到的比我想像中還多很多 我個人覺得這堂課真的非常棒! 教授講話有時候真的會跳來跳去 但不是法律系的我，還是聽得蠻懂的 不知道為什麼莫名的覺得教授的教法很合我tone 而且下課去問教授問題他都會很熱心回答 考試的話 我有認真的上課和抄筆記 然後又open book，所以還算輕鬆愉快吧 但如果對信託跟退休金沒什麼興趣 或者是不想每堂都認真上課 就不一定很推 沒興趣的話真的超容易睡著 加上期末考面對一整大疊的英文講義 可能會很恐慌吧
M.1127839501.A.2A2__LAW3110,LAW3110,信託與退休金法,余雪明,https://www.ptt.cc/bbs/NTUcourse/M.1127839501.A.2A2.html,Re: 余雪明的信託與退休金法,Wed Sep 28 00:51:31 2005,,,False,,,,,,
M.1265131828.A.9DA__Phys1024,Phys1024,演化、宇宙、人,侯維恕,https://www.ptt.cc/bbs/NTUcourse/M.1265131828.A.9DA.html,[通識] 97-2 A78 [演化、宇宙、人] 侯維恕,Wed Feb  3 01:30:25 2010,通識,97-2,True,5,2,2,老師講述為主，輔以用心製作的投影片 課堂氣氛絕不算活潑（若與［認識星空］相比），記得後面常有人睡著 雖然老師有時也很想聽聽同學的想法 甚至以加分獎勵，不過回答的人很少 也許一方面不知道答案，一方面課堂上很少出現老師以外的聲音....,當時講的是 簽到10% 習題20% 期中考30% 報告40% 沒有期末考 不過老師當時一直很猶豫期末的「報告」該怎麼規定 後來好像是直接以習題代替（不確定，有點忘了）,寫這篇評價的主要原因是曾側聞不少人覺得這門課又硬又無聊 但因為我從這門課上收穫豐富，也覺得這是門有努力有回報的課 所以上來寫自己的感覺 前面已經提過，我在修課前的數理、生物基礎趨近於零 也曾很緊張地問助教到底這門課適不適合像我這種基礎的人修 但上課認真聽 + 複習ppt + 作業好好寫 這門課我拿到97分，是超乎我預期的分數（也許有調分？） 當時老師改完期中考後，曾經口氣有點硬地跟同學說「這門課是會當人的」 因為記得好像三成或四成的人分數是不及格或及格邊緣 但我拿回考卷後發現其實考卷改得不嚴 答案雖然寫錯了，但有沾到邊也會給不少分（當然不會給全部） 我只有讀ppt但期中分數有到九開頭 所以我感…
M.1630514460.A.7AD__MATH4008,MATH4008,微積分3,傅斯緯,https://www.ptt.cc/bbs/NTUcourse/M.1630514460.A.7AD.html,[評價] 109-4 暑修 傅斯緯 微積分34,Thu Sep  2 00:40:57 2021,評價,109-4,True,4,5,4,全板書講解，上課前與結束後的３０分鐘可以自由提問或閒聊，有人會在這段時間問作業 ，老師也會細心講解。 老師不會講太細，不確定是不是因為暑修時間太少的關係，但我覺得他講得很清楚～也會 在ＣＯＯＬ放之前的課程影片，真的聽不懂可以請老師再講一次，再不行也可以上ＣＯＯ Ｌ看。這學期因為遠距教學的因素，直播影片也會放到ＣＯＯＬ上，所以有很多學習的選 擇。,作業３５％、期中考２５％、期末４０％ 作業有Webwork（２５％）跟手寫（１０％），都不難，只是每天都要寫還是挺煩的。期 中考都很簡單，微３的期末難了一點，微４還好，但都不會出得像統一班那麼難，作業有 寫然後有讀，要拿好成績真的不難。 而且老師人真的很善良，有很多方法會想辦法救學生，而且老師總說「加分或調分的事我 不會說，說死了就很難有彈性再調整了。」真的佛。,斯緯我大哥！
M.1705036643.A.690__LibEdu1021,LibEdu1021,邏輯,傅皓政,https://www.ptt.cc/bbs/NTUcourse/M.1705036643.A.690.html,[通識] 112-1 A4 邏輯 傅皓政,Fri Jan 12 13:17:18 2024,通識,112-1,True,5,5,2,主要是用投影片上課，解題的時候會用到黑板,作業成績 40% (這學期只有4次作業，有準時交就可以拿滿分) 期中考 30% 期末考 30% 另外還有加分小卡(只要是被老師點到、主動回答問題或是下課找老師問問題都可以拿到) 加分應該上限是10分(根據cool上的成績來看),這門課應該算是很有名的甜涼課 基本上我覺得可以輕鬆學習，但如果想拿A+還是建議考前一週要認真讀過會比較保險。
M.1612761475.A.D82__LibEdu1021,LibEdu1021,邏輯,傅皓政,https://www.ptt.cc/bbs/NTUcourse/M.1612761475.A.D82.html,[通識] 109-1 傅皓政 邏輯,Mon Feb  8 13:17:53 2021,通識,109-1,True,5,3,,講解投影片，會點學生回答問題只要回答不論對錯就可以拿加分卡(一堂課只會計一張多 拿沒用），老師也常常會舉生活常見的例子來解釋抽象的概念,期中：30% 期末：30% 作業：40% 加分卡(未知) 筆者期中83，期末68，作業全準時交，加分卡拿10張最後只有A,如果想要穩拿A+，建議期中期末平均要有80，當初小弟考完期中按照前幾年的算分法以為 穩拿A+結果... 然後這堂課雖然講了很多邏輯方面的東西dnf cnf 樹狀演繹法 ，但總覺得沒有學到這些 東西的精髓學到的大部分都是解題技巧，所以想要學到更紮實的邏輯這堂課可能不太合適 ，不過作為通識課好像也還好啦xd 最後如果缺通識學分這堂課還是很推薦
M.1537170656.A.E37__LibEdu1021,LibEdu1021,邏輯,傅皓政,https://www.ptt.cc/bbs/NTUcourse/M.1537170656.A.E37.html,[求救] 傅皓政 邏輯 授權碼徵求,Mon Sep 17 15:50:53 2018,求救,,False,,,,,,
